#                  L = 25.00                                       L = 50.00                                       L = 75.00                                       L = 100.00                   
#          r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)
  9.61600000E+00  1.25401332E-02  2.28222476E-05  9.61600000E+00  1.33035768E-02  1.50355948E-05  9.61600000E+00  1.25570994E-02  1.51513034E-05  9.61600000E+00  1.28717720E-02  1.86004019E-05
  9.69400000E+00  5.94003042E-03  1.12538350E-05  9.69400000E+00  6.32500841E-03  7.96132865E-06  9.69400000E+00  5.95842553E-03  8.64649179E-06  9.69400000E+00  6.10774816E-03  1.09671140E-05
  9.77100000E+00  2.29301090E-03  4.89343740E-06  9.77100000E+00  2.45381249E-03  3.34857065E-06  9.77100000E+00  2.30708017E-03  4.18689920E-06  9.77100000E+00  2.36278820E-03  4.93399218E-06
  9.84900000E+00  6.79553201E-04  1.65186802E-06  9.84900000E+00  7.29353104E-04  1.18311620E-06  9.84900000E+00  6.84973885E-04  1.56985341E-06  9.84900000E+00  7.03256125E-04  2.41030400E-06
  9.92600000E+00  1.43986255E-04  5.16195125E-07  9.92600000E+00  1.54622507E-04  3.81017153E-07  9.92600000E+00  1.44597278E-04  6.21363048E-07  9.92600000E+00  1.49400754E-04  8.13656105E-07
  1.00000000E+01  2.09692084E-05  1.95683906E-07  1.00000000E+01  2.25011283E-05  1.06437448E-07  1.00000000E+01  2.07505228E-05  2.58763071E-07  1.00000000E+01  2.14871222E-05  2.72989829E-07
  1.00800000E+01  2.09104235E-06  5.17910782E-08  1.00800000E+01  2.17015036E-06  3.63106314E-08  1.00800000E+01  2.04890696E-06  7.05623764E-08  1.00800000E+01  1.86061777E-06  7.32032894E-08
  1.01600000E+01  1.11099036E-07  1.10449979E-08  1.01600000E+01  1.08742399E-07  8.08880415E-09  1.01600000E+01  8.91588173E-08  1.61344622E-08  1.01600000E+01  9.73275334E-08  1.76805010E-08
  1.02400000E+01  2.11137228E-09  1.21527177E-09  1.02400000E+01  2.29028602E-09  1.19714968E-09  1.02400000E+01  0.00000000E+00  0.00000000E+00  1.02400000E+01  1.82250917E-09  1.31142399E-09
  1.03100000E+01  0.00000000E+00  0.00000000E+00  1.03100000E+01  0.00000000E+00  0.00000000E+00  1.03100000E+01  0.00000000E+00  0.00000000E+00  1.03100000E+01  0.00000000E+00  0.00000000E+00
  1.03900000E+01  0.00000000E+00  0.00000000E+00  1.03900000E+01  0.00000000E+00  0.00000000E+00  1.03900000E+01  0.00000000E+00  0.00000000E+00  1.03900000E+01  0.00000000E+00  0.00000000E+00
  1.04700000E+01  0.00000000E+00  0.00000000E+00  1.04700000E+01  0.00000000E+00  0.00000000E+00  1.04700000E+01  0.00000000E+00  0.00000000E+00  1.04700000E+01  0.00000000E+00  0.00000000E+00
  1.05500000E+01  0.00000000E+00  0.00000000E+00  1.05500000E+01  0.00000000E+00  0.00000000E+00  1.05500000E+01  0.00000000E+00  0.00000000E+00  1.05500000E+01  0.00000000E+00  0.00000000E+00
  1.06200000E+01  0.00000000E+00  0.00000000E+00  1.06200000E+01  0.00000000E+00  0.00000000E+00  1.06200000E+01  0.00000000E+00  0.00000000E+00  1.06200000E+01  0.00000000E+00  0.00000000E+00
  1.07000000E+01  0.00000000E+00  0.00000000E+00  1.07000000E+01  0.00000000E+00  0.00000000E+00  1.07000000E+01  0.00000000E+00  0.00000000E+00  1.07000000E+01  0.00000000E+00  0.00000000E+00
  1.07800000E+01  0.00000000E+00  0.00000000E+00  1.07800000E+01  0.00000000E+00  0.00000000E+00  1.07800000E+01  0.00000000E+00  0.00000000E+00  1.07800000E+01  0.00000000E+00  0.00000000E+00
  1.08600000E+01  0.00000000E+00  0.00000000E+00  1.08600000E+01  0.00000000E+00  0.00000000E+00  1.08600000E+01  0.00000000E+00  0.00000000E+00  1.08600000E+01  0.00000000E+00  0.00000000E+00
  1.09300000E+01  0.00000000E+00  0.00000000E+00  1.09300000E+01  0.00000000E+00  0.00000000E+00  1.09300000E+01  0.00000000E+00  0.00000000E+00  1.09300000E+01  0.00000000E+00  0.00000000E+00
  1.10100000E+01  0.00000000E+00  0.00000000E+00  1.10100000E+01  0.00000000E+00  0.00000000E+00  1.10100000E+01  0.00000000E+00  0.00000000E+00  1.10100000E+01  0.00000000E+00  0.00000000E+00
  1.10900000E+01  0.00000000E+00  0.00000000E+00  1.10900000E+01  0.00000000E+00  0.00000000E+00  1.10900000E+01  0.00000000E+00  0.00000000E+00  1.10900000E+01  0.00000000E+00  0.00000000E+00
  1.11700000E+01  0.00000000E+00  0.00000000E+00  1.11700000E+01  0.00000000E+00  0.00000000E+00  1.11700000E+01  0.00000000E+00  0.00000000E+00  1.11700000E+01  0.00000000E+00  0.00000000E+00
  1.12400000E+01  0.00000000E+00  0.00000000E+00  1.12400000E+01  0.00000000E+00  0.00000000E+00  1.12400000E+01  0.00000000E+00  0.00000000E+00  1.12400000E+01  0.00000000E+00  0.00000000E+00
  1.13200000E+01  0.00000000E+00  0.00000000E+00  1.13200000E+01  0.00000000E+00  0.00000000E+00  1.13200000E+01  0.00000000E+00  0.00000000E+00  1.13200000E+01  0.00000000E+00  0.00000000E+00
  1.14000000E+01  0.00000000E+00  0.00000000E+00  1.14000000E+01  0.00000000E+00  0.00000000E+00  1.14000000E+01  0.00000000E+00  0.00000000E+00  1.14000000E+01  0.00000000E+00  0.00000000E+00
  1.14800000E+01  0.00000000E+00  0.00000000E+00  1.14800000E+01  0.00000000E+00  0.00000000E+00  1.14800000E+01  0.00000000E+00  0.00000000E+00  1.14800000E+01  0.00000000E+00  0.00000000E+00
  1.15500000E+01  0.00000000E+00  0.00000000E+00  1.15500000E+01  0.00000000E+00  0.00000000E+00  1.15500000E+01  0.00000000E+00  0.00000000E+00  1.15500000E+01  0.00000000E+00  0.00000000E+00
  1.16300000E+01  0.00000000E+00  0.00000000E+00  1.16300000E+01  0.00000000E+00  0.00000000E+00  1.16300000E+01  0.00000000E+00  0.00000000E+00  1.16300000E+01  0.00000000E+00  0.00000000E+00
  1.17100000E+01  0.00000000E+00  0.00000000E+00  1.17100000E+01  0.00000000E+00  0.00000000E+00  1.17100000E+01  0.00000000E+00  0.00000000E+00  1.17100000E+01  0.00000000E+00  0.00000000E+00
  1.17900000E+01  0.00000000E+00  0.00000000E+00  1.17900000E+01  0.00000000E+00  0.00000000E+00  1.17900000E+01  0.00000000E+00  0.00000000E+00  1.17900000E+01  0.00000000E+00  0.00000000E+00
  1.18700000E+01  0.00000000E+00  0.00000000E+00  1.18700000E+01  0.00000000E+00  0.00000000E+00  1.18700000E+01  0.00000000E+00  0.00000000E+00  1.18700000E+01  0.00000000E+00  0.00000000E+00
  1.19400000E+01  0.00000000E+00  0.00000000E+00  1.19400000E+01  0.00000000E+00  0.00000000E+00  1.19400000E+01  0.00000000E+00  0.00000000E+00  1.19400000E+01  0.00000000E+00  0.00000000E+00
  1.20200000E+01  0.00000000E+00  0.00000000E+00  1.20200000E+01  0.00000000E+00  0.00000000E+00  1.20200000E+01  0.00000000E+00  0.00000000E+00  1.20200000E+01  0.00000000E+00  0.00000000E+00
  1.21000000E+01  0.00000000E+00  0.00000000E+00  1.21000000E+01  0.00000000E+00  0.00000000E+00  1.21000000E+01  0.00000000E+00  0.00000000E+00  1.21000000E+01  0.00000000E+00  0.00000000E+00
  1.21800000E+01  0.00000000E+00  0.00000000E+00  1.21800000E+01  0.00000000E+00  0.00000000E+00  1.21800000E+01  0.00000000E+00  0.00000000E+00  1.21800000E+01  0.00000000E+00  0.00000000E+00
  1.22500000E+01  0.00000000E+00  0.00000000E+00  1.22500000E+01  0.00000000E+00  0.00000000E+00  1.22500000E+01  0.00000000E+00  0.00000000E+00  1.22500000E+01  0.00000000E+00  0.00000000E+00
  1.23300000E+01  0.00000000E+00  0.00000000E+00  1.23300000E+01  0.00000000E+00  0.00000000E+00  1.23300000E+01  0.00000000E+00  0.00000000E+00  1.23300000E+01  0.00000000E+00  0.00000000E+00
  1.24100000E+01  0.00000000E+00  0.00000000E+00  1.24100000E+01  0.00000000E+00  0.00000000E+00  1.24100000E+01  0.00000000E+00  0.00000000E+00  1.24100000E+01  0.00000000E+00  0.00000000E+00
  1.24900000E+01  0.00000000E+00  0.00000000E+00  1.24900000E+01  0.00000000E+00  0.00000000E+00  1.24900000E+01  0.00000000E+00  0.00000000E+00  1.24900000E+01  0.00000000E+00  0.00000000E+00
  1.25600000E+01  0.00000000E+00  0.00000000E+00  1.25600000E+01  0.00000000E+00  0.00000000E+00  1.25600000E+01  0.00000000E+00  0.00000000E+00  1.25600000E+01  0.00000000E+00  0.00000000E+00
  1.26400000E+01  0.00000000E+00  0.00000000E+00  1.26400000E+01  0.00000000E+00  0.00000000E+00  1.26400000E+01  0.00000000E+00  0.00000000E+00  1.26400000E+01  0.00000000E+00  0.00000000E+00
  1.27200000E+01  0.00000000E+00  0.00000000E+00  1.27200000E+01  0.00000000E+00  0.00000000E+00  1.27200000E+01  0.00000000E+00  0.00000000E+00  1.27200000E+01  0.00000000E+00  0.00000000E+00
  1.28000000E+01  0.00000000E+00  0.00000000E+00  1.28000000E+01  0.00000000E+00  0.00000000E+00  1.28000000E+01  0.00000000E+00  0.00000000E+00  1.28000000E+01  0.00000000E+00  0.00000000E+00
  1.28700000E+01  0.00000000E+00  0.00000000E+00  1.28700000E+01  0.00000000E+00  0.00000000E+00  1.28700000E+01  0.00000000E+00  0.00000000E+00  1.28700000E+01  0.00000000E+00  0.00000000E+00
  1.29500000E+01  0.00000000E+00  0.00000000E+00  1.29500000E+01  0.00000000E+00  0.00000000E+00  1.29500000E+01  0.00000000E+00  0.00000000E+00  1.29500000E+01  0.00000000E+00  0.00000000E+00
  1.30300000E+01  0.00000000E+00  0.00000000E+00  1.30300000E+01  0.00000000E+00  0.00000000E+00  1.30300000E+01  0.00000000E+00  0.00000000E+00  1.30300000E+01  0.00000000E+00  0.00000000E+00
  1.31100000E+01  0.00000000E+00  0.00000000E+00  1.31100000E+01  0.00000000E+00  0.00000000E+00  1.31100000E+01  0.00000000E+00  0.00000000E+00  1.31100000E+01  0.00000000E+00  0.00000000E+00
  1.31800000E+01  0.00000000E+00  0.00000000E+00  1.31800000E+01  0.00000000E+00  0.00000000E+00  1.31800000E+01  0.00000000E+00  0.00000000E+00  1.31800000E+01  0.00000000E+00  0.00000000E+00
  1.32600000E+01  0.00000000E+00  0.00000000E+00  1.32600000E+01  0.00000000E+00  0.00000000E+00  1.32600000E+01  0.00000000E+00  0.00000000E+00  1.32600000E+01  0.00000000E+00  0.00000000E+00
  1.33400000E+01  0.00000000E+00  0.00000000E+00  1.33400000E+01  0.00000000E+00  0.00000000E+00  1.33400000E+01  0.00000000E+00  0.00000000E+00  1.33400000E+01  0.00000000E+00  0.00000000E+00
  1.34200000E+01  0.00000000E+00  0.00000000E+00  1.34200000E+01  0.00000000E+00  0.00000000E+00  1.34200000E+01  0.00000000E+00  0.00000000E+00  1.34200000E+01  0.00000000E+00  0.00000000E+00
  1.34900000E+01  0.00000000E+00  0.00000000E+00  1.34900000E+01  0.00000000E+00  0.00000000E+00  1.34900000E+01  0.00000000E+00  0.00000000E+00  1.34900000E+01  0.00000000E+00  0.00000000E+00
  1.35700000E+01  0.00000000E+00  0.00000000E+00  1.35700000E+01  0.00000000E+00  0.00000000E+00  1.35700000E+01  0.00000000E+00  0.00000000E+00  1.35700000E+01  0.00000000E+00  0.00000000E+00
  1.36500000E+01  0.00000000E+00  0.00000000E+00  1.36500000E+01  0.00000000E+00  0.00000000E+00  1.36500000E+01  0.00000000E+00  0.00000000E+00  1.36500000E+01  0.00000000E+00  0.00000000E+00
  1.37300000E+01  0.00000000E+00  0.00000000E+00  1.37300000E+01  0.00000000E+00  0.00000000E+00  1.37300000E+01  0.00000000E+00  0.00000000E+00  1.37300000E+01  0.00000000E+00  0.00000000E+00
  1.38000000E+01  0.00000000E+00  0.00000000E+00  1.38000000E+01  0.00000000E+00  0.00000000E+00  1.38000000E+01  0.00000000E+00  0.00000000E+00  1.38000000E+01  0.00000000E+00  0.00000000E+00
  1.38800000E+01  0.00000000E+00  0.00000000E+00  1.38800000E+01  0.00000000E+00  0.00000000E+00  1.38800000E+01  0.00000000E+00  0.00000000E+00  1.38800000E+01  0.00000000E+00  0.00000000E+00
  1.39600000E+01  0.00000000E+00  0.00000000E+00  1.39600000E+01  0.00000000E+00  0.00000000E+00  1.39600000E+01  0.00000000E+00  0.00000000E+00  1.39600000E+01  0.00000000E+00  0.00000000E+00
  1.40400000E+01  0.00000000E+00  0.00000000E+00  1.40400000E+01  0.00000000E+00  0.00000000E+00  1.40400000E+01  0.00000000E+00  0.00000000E+00  1.40400000E+01  0.00000000E+00  0.00000000E+00
  1.41100000E+01  0.00000000E+00  0.00000000E+00  1.41100000E+01  0.00000000E+00  0.00000000E+00  1.41100000E+01  0.00000000E+00  0.00000000E+00  1.41100000E+01  0.00000000E+00  0.00000000E+00
  1.41900000E+01  0.00000000E+00  0.00000000E+00  1.41900000E+01  0.00000000E+00  0.00000000E+00  1.41900000E+01  0.00000000E+00  0.00000000E+00  1.41900000E+01  0.00000000E+00  0.00000000E+00
  1.42700000E+01  0.00000000E+00  0.00000000E+00  1.42700000E+01  0.00000000E+00  0.00000000E+00  1.42700000E+01  0.00000000E+00  0.00000000E+00  1.42700000E+01  0.00000000E+00  0.00000000E+00
  1.43500000E+01  0.00000000E+00  0.00000000E+00  1.43500000E+01  0.00000000E+00  0.00000000E+00  1.43500000E+01  0.00000000E+00  0.00000000E+00  1.43500000E+01  0.00000000E+00  0.00000000E+00
  1.44200000E+01  0.00000000E+00  0.00000000E+00  1.44200000E+01  0.00000000E+00  0.00000000E+00  1.44200000E+01  0.00000000E+00  0.00000000E+00  1.44200000E+01  0.00000000E+00  0.00000000E+00
  1.45000000E+01  0.00000000E+00  0.00000000E+00  1.45000000E+01  0.00000000E+00  0.00000000E+00  1.45000000E+01  0.00000000E+00  0.00000000E+00  1.45000000E+01  0.00000000E+00  0.00000000E+00
  1.45800000E+01  0.00000000E+00  0.00000000E+00  1.45800000E+01  0.00000000E+00  0.00000000E+00  1.45800000E+01  0.00000000E+00  0.00000000E+00  1.45800000E+01  0.00000000E+00  0.00000000E+00
  1.46600000E+01  0.00000000E+00  0.00000000E+00  1.46600000E+01  0.00000000E+00  0.00000000E+00  1.46600000E+01  0.00000000E+00  0.00000000E+00  1.46600000E+01  0.00000000E+00  0.00000000E+00
  1.47300000E+01  0.00000000E+00  0.00000000E+00  1.47300000E+01  0.00000000E+00  0.00000000E+00  1.47300000E+01  0.00000000E+00  0.00000000E+00  1.47300000E+01  0.00000000E+00  0.00000000E+00
  1.48100000E+01  0.00000000E+00  0.00000000E+00  1.48100000E+01  0.00000000E+00  0.00000000E+00  1.48100000E+01  0.00000000E+00  0.00000000E+00  1.48100000E+01  0.00000000E+00  0.00000000E+00
  1.48900000E+01  0.00000000E+00  0.00000000E+00  1.48900000E+01  0.00000000E+00  0.00000000E+00  1.48900000E+01  0.00000000E+00  0.00000000E+00  1.48900000E+01  0.00000000E+00  0.00000000E+00
  1.49700000E+01  0.00000000E+00  0.00000000E+00  1.49700000E+01  0.00000000E+00  0.00000000E+00  1.49700000E+01  0.00000000E+00  0.00000000E+00  1.49700000E+01  0.00000000E+00  0.00000000E+00
  1.50400000E+01  0.00000000E+00  0.00000000E+00  1.50400000E+01  0.00000000E+00  0.00000000E+00  1.50400000E+01  0.00000000E+00  0.00000000E+00  1.50400000E+01  0.00000000E+00  0.00000000E+00
  1.51200000E+01  0.00000000E+00  0.00000000E+00  1.51200000E+01  0.00000000E+00  0.00000000E+00  1.51200000E+01  0.00000000E+00  0.00000000E+00  1.51200000E+01  0.00000000E+00  0.00000000E+00
  1.52000000E+01  0.00000000E+00  0.00000000E+00  1.52000000E+01  0.00000000E+00  0.00000000E+00  1.52000000E+01  0.00000000E+00  0.00000000E+00  1.52000000E+01  0.00000000E+00  0.00000000E+00
  1.52800000E+01  0.00000000E+00  0.00000000E+00  1.52800000E+01  0.00000000E+00  0.00000000E+00  1.52800000E+01  0.00000000E+00  0.00000000E+00  1.52800000E+01  0.00000000E+00  0.00000000E+00
  1.53500000E+01  0.00000000E+00  0.00000000E+00  1.53500000E+01  0.00000000E+00  0.00000000E+00  1.53500000E+01  0.00000000E+00  0.00000000E+00  1.53500000E+01  0.00000000E+00  0.00000000E+00
  1.54300000E+01  0.00000000E+00  0.00000000E+00  1.54300000E+01  0.00000000E+00  0.00000000E+00  1.54300000E+01  0.00000000E+00  0.00000000E+00  1.54300000E+01  0.00000000E+00  0.00000000E+00
