#                  L = 25.00                                       L = 50.00                                       L = 75.00                                       L = 100.00                   
#          r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)
  2.17100000E+00  9.21391555E-03  2.32137281E-04  2.17100000E+00  1.13838793E-02  7.67919424E-05  2.17100000E+00  1.02048747E-02  9.30932390E-05  2.17100000E+00  1.00551074E-02  9.45082603E-05
  2.24900000E+00  1.20613366E-02  2.61678783E-04  2.24900000E+00  1.46897551E-02  7.58469904E-05  2.24900000E+00  1.32586602E-02  9.68698989E-05  2.24900000E+00  1.32088835E-02  9.76689184E-05
  2.32600000E+00  1.55354537E-02  2.85343072E-04  2.32600000E+00  1.86432211E-02  7.48244227E-05  2.32600000E+00  1.69435421E-02  1.02593599E-04  2.32600000E+00  1.70147034E-02  9.30575991E-05
  2.40400000E+00  1.96657559E-02  3.02905824E-04  2.40400000E+00  2.31803795E-02  7.04018244E-05  2.40400000E+00  2.12382069E-02  1.03777994E-04  2.40400000E+00  2.14658471E-02  8.97472117E-05
  2.48200000E+00  2.44123105E-02  3.05765067E-04  2.48200000E+00  2.82334548E-02  6.78141275E-05  2.48200000E+00  2.60980545E-02  1.03810524E-04  2.48200000E+00  2.65224848E-02  9.04902289E-05
  2.55900000E+00  2.96826062E-02  2.91295398E-04  2.55900000E+00  3.36490203E-02  6.56246287E-05  2.55900000E+00  3.14058890E-02  1.09607634E-04  2.55900000E+00  3.20208073E-02  9.62672282E-05
  2.63700000E+00  3.53545000E-02  2.53412502E-04  2.63700000E+00  3.92043515E-02  6.41719492E-05  2.63700000E+00  3.69854035E-02  1.16555439E-04  2.63700000E+00  3.78076625E-02  1.03958621E-04
  2.71400000E+00  4.11786467E-02  1.87213825E-04  2.71400000E+00  4.46654940E-02  6.41231247E-05  2.71400000E+00  4.25271927E-02  1.19295654E-04  2.71400000E+00  4.35957948E-02  1.30213015E-04
  2.79200000E+00  4.69751172E-02  1.09992429E-04  2.79200000E+00  4.96969832E-02  6.79523000E-05  2.79200000E+00  4.78694400E-02  1.32270242E-04  2.79200000E+00  4.90840296E-02  1.49761857E-04
  2.86900000E+00  5.24032727E-02  1.16840059E-04  2.86900000E+00  5.39951985E-02  7.32155506E-05  2.86900000E+00  5.25883785E-02  1.48422506E-04  2.86900000E+00  5.40171214E-02  1.76486885E-04
  2.94700000E+00  5.71165532E-02  2.44296662E-04  2.94700000E+00  5.72574568E-02  8.14067870E-05  2.94700000E+00  5.64432080E-02  1.68699531E-04  2.94700000E+00  5.79930170E-02  2.02272142E-04
  3.02400000E+00  6.08534292E-02  4.10223784E-04  3.02400000E+00  5.92473854E-02  9.60693918E-05  3.02400000E+00  5.92063133E-02  1.85218367E-04  3.02400000E+00  6.07193180E-02  2.19745911E-04
  3.10200000E+00  6.33225925E-02  5.82846167E-04  3.10200000E+00  5.98115273E-02  1.11480368E-04  3.10200000E+00  6.05733937E-02  2.06594903E-04  3.10200000E+00  6.20010477E-02  2.32609471E-04
  3.18000000E+00  6.43013428E-02  7.51282050E-04  3.18000000E+00  5.88716592E-02  1.28721560E-04  3.18000000E+00  6.05156751E-02  2.27515622E-04  3.18000000E+00  6.17757387E-02  2.28150782E-04
  3.25700000E+00  6.37469965E-02  9.04102264E-04  3.25700000E+00  5.65085448E-02  1.45259454E-04  3.25700000E+00  5.89706374E-02  2.48347297E-04  3.25700000E+00  6.00307884E-02  2.31375448E-04
  3.33500000E+00  6.16428364E-02  1.02222455E-03  3.33500000E+00  5.28328468E-02  1.61802538E-04  3.33500000E+00  5.60262086E-02  2.57603328E-04  3.33500000E+00  5.68644819E-02  2.13442509E-04
  3.41200000E+00  5.80808050E-02  1.10304409E-03  3.41200000E+00  4.81390738E-02  1.69864792E-04  3.41200000E+00  5.19783710E-02  2.55314488E-04  3.41200000E+00  5.24046370E-02  1.94810697E-04
  3.49000000E+00  5.33675445E-02  1.13809279E-03  3.49000000E+00  4.26910714E-02  1.74493964E-04  3.49000000E+00  4.70096474E-02  2.54137896E-04  3.49000000E+00  4.70714502E-02  1.69166778E-04
  3.56700000E+00  4.77436261E-02  1.12212722E-03  3.56700000E+00  3.68650081E-02  1.72418624E-04  3.56700000E+00  4.14115494E-02  2.46079048E-04  3.56700000E+00  4.11453044E-02  1.47382132E-04
  3.64500000E+00  4.15938179E-02  1.06792654E-03  3.64500000E+00  3.10041348E-02  1.66784280E-04  3.64500000E+00  3.56143994E-02  2.28264860E-04  3.64500000E+00  3.50588102E-02  1.26384801E-04
  3.72200000E+00  3.52953998E-02  9.77949891E-04  3.72200000E+00  2.53972926E-02  1.56303807E-04  3.72200000E+00  2.98768652E-02  2.07899337E-04  3.72200000E+00  2.90704927E-02  1.10700896E-04
  3.80000000E+00  2.91493241E-02  8.60757008E-04  3.80000000E+00  2.02935845E-02  1.42428315E-04  3.80000000E+00  2.44194976E-02  1.81176357E-04  3.80000000E+00  2.34946169E-02  9.85914981E-05
  3.87700000E+00  2.34597546E-02  7.31059515E-04  3.87700000E+00  1.58363239E-02  1.25749269E-04  3.87700000E+00  1.95144706E-02  1.57577109E-04  3.87700000E+00  1.85032859E-02  9.23232041E-05
  3.95500000E+00  1.83930376E-02  5.94747872E-04  3.95500000E+00  1.21079212E-02  1.07771202E-04  3.95500000E+00  1.52779730E-02  1.33092014E-04  3.95500000E+00  1.42628410E-02  9.09261722E-05
  4.03300000E+00  1.40734968E-02  4.65161484E-04  4.03300000E+00  9.12865445E-03  8.94327972E-05  4.03300000E+00  1.17520899E-02  1.12800008E-04  4.03300000E+00  1.07868937E-02  9.17313191E-05
  4.11000000E+00  1.05566112E-02  3.48563036E-04  4.11000000E+00  6.85688164E-03  7.38005361E-05  4.11000000E+00  8.93255186E-03  9.66839533E-05  4.11000000E+00  8.07076187E-03  9.15858283E-05
  4.18800000E+00  7.80233613E-03  2.46294579E-04  4.18800000E+00  5.22791917E-03  5.98691350E-05  4.18800000E+00  6.78932410E-03  8.36417866E-05  4.18800000E+00  6.03548756E-03  9.00339945E-05
  4.26500000E+00  5.74259455E-03  1.59707716E-04  4.26500000E+00  4.15232756E-03  4.85432613E-05  4.26500000E+00  5.24577430E-03  7.65401538E-05  4.26500000E+00  4.61473680E-03  8.84753490E-05
  4.34300000E+00  4.30327607E-03  8.87478283E-05  4.34300000E+00  3.54760816E-03  4.07322305E-05  4.34300000E+00  4.22582999E-03  7.35806297E-05  4.34300000E+00  3.71275016E-03  8.67875289E-05
  4.42000000E+00  3.39885149E-03  4.04275341E-05  4.42000000E+00  3.33858900E-03  3.57195321E-05  4.42000000E+00  3.64833952E-03  7.51522652E-05  4.42000000E+00  3.25414735E-03  8.73620792E-05
  4.49800000E+00  2.93267536E-03  4.78950106E-05  4.49800000E+00  3.47359490E-03  3.30954835E-05  4.49800000E+00  3.45555265E-03  7.82241239E-05  4.49800000E+00  3.17542562E-03  8.77007941E-05
  4.57500000E+00  2.84957118E-03  8.69354139E-05  4.57500000E+00  3.91465583E-03  3.31951170E-05  4.57500000E+00  3.60019058E-03  8.26103099E-05  4.57500000E+00  3.41986013E-03  9.01485111E-05
  4.65300000E+00  3.10858871E-03  1.28014537E-04  4.65300000E+00  4.65864394E-03  3.48982704E-05  4.65300000E+00  4.07575080E-03  8.91328690E-05  4.65300000E+00  3.97608196E-03  9.36605951E-05
  4.73100000E+00  3.69258502E-03  1.68197318E-04  4.73100000E+00  5.70401469E-03  3.78215848E-05  4.73100000E+00  4.86613885E-03  9.43271955E-05  4.73100000E+00  4.84520856E-03  9.68567788E-05
  4.80800000E+00  4.61195060E-03  2.08070187E-04  4.80800000E+00  7.08280591E-03  4.22901582E-05  4.80800000E+00  5.98627455E-03  1.01683900E-04  4.80800000E+00  6.03479459E-03  1.02732656E-04
  4.88600000E+00  5.90296911E-03  2.47789385E-04  4.88600000E+00  8.83348376E-03  4.71944605E-05  4.88600000E+00  7.49480128E-03  1.09361634E-04  4.88600000E+00  7.60068372E-03  1.08465287E-04
  4.96300000E+00  7.60312195E-03  2.86287870E-04  4.96300000E+00  1.09975692E-02  5.28625775E-05  4.96300000E+00  9.41778784E-03  1.15100090E-04  4.96300000E+00  9.60137463E-03  1.11032712E-04
  5.04100000E+00  9.77586054E-03  3.23503217E-04  5.04100000E+00  1.36267895E-02  5.84624034E-05  5.04100000E+00  1.18110687E-02  1.23225043E-04  5.04100000E+00  1.20479206E-02  1.17596778E-04
  5.11800000E+00  1.24757112E-02  3.56770263E-04  5.11800000E+00  1.67463581E-02  6.22286402E-05  5.11800000E+00  1.47175201E-02  1.29362224E-04  5.11800000E+00  1.50268114E-02  1.17541061E-04
  5.19600000E+00  1.57797111E-02  3.82354652E-04  5.19600000E+00  2.04194494E-02  6.55352488E-05  5.19600000E+00  1.81754668E-02  1.31330363E-04  5.19600000E+00  1.86049494E-02  1.14214560E-04
  5.27300000E+00  1.97190224E-02  3.96464220E-04  5.27300000E+00  2.46564420E-02  6.85695381E-05  5.27300000E+00  2.22169943E-02  1.32971752E-04  5.27300000E+00  2.27301965E-02  1.06331101E-04
  5.35100000E+00  2.43195428E-02  3.98610049E-04  5.35100000E+00  2.94250755E-02  6.91587683E-05  5.35100000E+00  2.68147030E-02  1.27886367E-04  5.35100000E+00  2.74569315E-02  9.51747697E-05
  5.42800000E+00  2.95551075E-02  3.83895277E-04  5.42800000E+00  3.46962362E-02  6.80768749E-05  5.42800000E+00  3.19881911E-02  1.18604013E-04  5.42800000E+00  3.27341264E-02  8.75608137E-05
  5.50600000E+00  3.53418926E-02  3.48186496E-04  5.50600000E+00  4.03612501E-02  6.34614289E-05  5.50600000E+00  3.75960736E-02  1.13193678E-04  5.50600000E+00  3.84929604E-02  6.66637941E-05
  5.58400000E+00  4.15705016E-02  2.96569916E-04  5.58400000E+00  4.62747192E-02  5.79661313E-05  5.58400000E+00  4.34717650E-02  1.00707943E-04  5.58400000E+00  4.45700905E-02  6.10830765E-05
  5.66100000E+00  4.80151935E-02  2.27789523E-04  5.66100000E+00  5.22234253E-02  5.20810039E-05  5.66100000E+00  4.94650794E-02  9.40103319E-05  5.66100000E+00  5.07271764E-02  7.02096515E-05
  5.73900000E+00  5.43828797E-02  1.48057963E-04  5.73900000E+00  5.79362653E-02  4.48118716E-05  5.73900000E+00  5.52906248E-02  9.30403843E-05  5.73900000E+00  5.67471270E-02  8.49310630E-05
  5.81600000E+00  6.03391074E-02  8.25762594E-05  5.81600000E+00  6.30964326E-02  4.10422362E-05  5.81600000E+00  6.06048272E-02  1.06890045E-04  5.81600000E+00  6.22283867E-02  1.09416851E-04
  5.89400000E+00  6.55200297E-02  1.12503084E-04  5.89400000E+00  6.73718192E-02  4.86018550E-05  5.89400000E+00  6.50828084E-02  1.32474087E-04  5.89400000E+00  6.68594405E-02  1.32688412E-04
  5.97100000E+00  6.95471765E-02  1.99742987E-04  5.97100000E+00  7.04194320E-02  6.21712442E-05  5.97100000E+00  6.83895132E-02  1.62800277E-04  5.97100000E+00  7.02980648E-02  1.50551354E-04
  6.04900000E+00  7.20662858E-02  2.91726858E-04  6.04900000E+00  7.19699524E-02  7.70545487E-05  6.04900000E+00  7.02293915E-02  1.98263076E-04  6.04900000E+00  7.21822470E-02  1.65158073E-04
  6.12600000E+00  7.27899388E-02  3.72609840E-04  6.12600000E+00  7.17576244E-02  9.44965862E-05  6.12600000E+00  7.03963667E-02  2.24193983E-04  6.12600000E+00  7.23623178E-02  1.78508379E-04
  6.20400000E+00  7.15823720E-02  4.29478948E-04  6.20400000E+00  6.97135236E-02  1.07368869E-04  6.20400000E+00  6.87691860E-02  2.46475363E-04  6.20400000E+00  7.06533378E-02  1.78015304E-04
  6.28200000E+00  6.84532987E-02  4.67425759E-04  6.28200000E+00  6.58901538E-02  1.19096282E-04  6.28200000E+00  6.53503938E-02  2.58642580E-04  6.28200000E+00  6.71240334E-02  1.80633486E-04
  6.35900000E+00  6.35502700E-02  4.81394604E-04  6.35900000E+00  6.04759514E-02  1.27457030E-04  6.35900000E+00  6.03753269E-02  2.61735774E-04  6.35900000E+00  6.19345508E-02  1.69843773E-04
  6.43700000E+00  5.72049773E-02  4.66313094E-04  6.43700000E+00  5.38278773E-02  1.28597668E-04  6.43700000E+00  5.41656907E-02  2.57046641E-04  6.43700000E+00  5.54482485E-02  1.54461327E-04
  6.51400000E+00  4.98958144E-02  4.33624526E-04  6.51400000E+00  4.63713162E-02  1.24507483E-04  6.51400000E+00  4.70791361E-02  2.35147895E-04  6.51400000E+00  4.80922812E-02  1.36119539E-04
  6.59200000E+00  4.21148350E-02  3.83818254E-04  6.59200000E+00  3.86231269E-02  1.15612772E-04  6.59200000E+00  3.96622127E-02  2.07800302E-04  6.59200000E+00  4.03730144E-02  1.14886349E-04
  6.66900000E+00  3.43570949E-02  3.26816425E-04  6.66900000E+00  3.10539319E-02  1.02029357E-04  6.66900000E+00  3.23354714E-02  1.78134917E-04  6.66900000E+00  3.27776187E-02  9.68893907E-05
  6.74700000E+00  2.70886750E-02  2.68086647E-04  6.74700000E+00  2.40822203E-02  8.53370276E-05  6.74700000E+00  2.54867457E-02  1.49394061E-04  6.74700000E+00  2.56508281E-02  7.93053630E-05
  6.82400000E+00  2.06163038E-02  2.08282244E-04  6.82400000E+00  1.80026699E-02  6.94722985E-05  6.82400000E+00  1.94234515E-02  1.18008104E-04  6.82400000E+00  1.94009657E-02  6.60905313E-05
  6.90200000E+00  1.51633086E-02  1.55401281E-04  6.90200000E+00  1.29681474E-02  5.44794535E-05  6.90200000E+00  1.43371873E-02  8.96923105E-05  6.90200000E+00  1.41786638E-02  5.41968134E-05
  6.97900000E+00  1.07673431E-02  1.09968576E-04  6.97900000E+00  9.01678947E-03  4.12600111E-05  6.97900000E+00  1.02555125E-02  6.61024937E-05  6.97900000E+00  1.00200285E-02  4.45613705E-05
