# PIMCID 01.200-0064-00.022-0.01040-304040381
# Number Samples   4654
3.645833E-01         0.00173	     0.00077	44.56
3.750000E-01         0.00149	     0.00079	53.12
3.854167E-01         0.00130	     0.00082	62.98
3.958333E-01         0.00127	     0.00084	66.53
4.062500E-01         0.00125	     0.00086	68.77
4.166667E-01         0.00119	     0.00087	73.14
4.270833E-01         0.00125	     0.00086	68.77
4.375000E-01         0.00127	     0.00084	66.53
4.479167E-01         0.00130	     0.00082	62.98
4.583333E-01         0.00149	     0.00079	53.12
4.687500E-01         0.00173	     0.00077	44.56
4.791667E-01         0.00189	     0.00075	39.59
4.895833E-01         0.00203	     0.00073	35.84
5.000000E-01         0.00227	     0.00071	31.22
5.104167E-01         0.00254	     0.00069	27.23
5.208333E-01         0.00281	     0.00068	24.07
5.312500E-01         0.00330	     0.00066	20.03
5.416667E-01         0.00369	     0.00065	17.63
5.520833E-01         0.00417	     0.00064	15.44
5.625000E-01         0.00478	     0.00064	13.33
5.729167E-01         0.00548	     0.00063	11.59
5.833333E-01         0.00638	     0.00063	 9.90
5.937500E-01         0.00748	     0.00063	 8.44
6.041667E-01         0.00873	     0.00063	 7.22
6.145833E-01         0.01014	     0.00063	 6.21
6.250000E-01         0.01179	     0.00063	 5.34
6.354167E-01         0.01363	     0.00063	 4.61
6.458333E-01         0.01565	     0.00063	 4.01
6.562500E-01         0.01801	     0.00063	 3.48
6.666667E-01         0.02091	     0.00063	 3.01
6.770833E-01         0.02431	     0.00063	 2.60
6.875000E-01         0.02830	     0.00064	 2.25
6.979167E-01         0.03280	     0.00064	 1.97
7.083333E-01         0.03808	     0.00066	 1.72
7.187500E-01         0.04444	     0.00067	 1.50
7.291667E-01         0.05202	     0.00068	 1.31
7.395833E-01         0.06120	     0.00070	 1.14
7.500000E-01         0.07222	     0.00072	 0.99
7.604167E-01         0.08562	     0.00074	 0.86
7.708333E-01         0.10196	     0.00076	 0.74
7.812500E-01         0.12219	     0.00078	 0.64
7.916667E-01         0.14749	     0.00081	 0.55
8.020833E-01         0.17958	     0.00083	 0.46
8.125000E-01         0.22128	     0.00086	 0.39
8.229167E-01         0.27721	     0.00088	 0.32
0.000000E+00         1.25140	     0.00506	 0.40
1.041667E-02         1.06220	     0.00504	 0.47
2.083333E-02         0.92151	     0.00498	 0.54
3.125000E-02         0.81001	     0.00491	 0.61
4.166667E-02         0.71851	     0.00482	 0.67
5.208333E-02         0.64115	     0.00473	 0.74
6.250000E-02         0.57475	     0.00463	 0.80
7.291667E-02         0.51676	     0.00453	 0.88
8.333333E-02         0.46580	     0.00443	 0.95
9.375000E-02         0.42057	     0.00434	 1.03
1.041667E-01         0.38061	     0.00426	 1.12
1.145833E-01         0.34502	     0.00419	 1.21
1.250000E-01         0.31358	     0.00412	 1.31
1.354167E-01         0.28534	     0.00406	 1.42
1.458333E-01         0.25986	     0.00402	 1.55
1.562500E-01         0.23714	     0.00398	 1.68
1.666667E-01         0.21656	     0.00394	 1.82
1.770833E-01         0.19836	     0.00391	 1.97
1.875000E-01         0.18183	     0.00389	 2.14
1.979167E-01         0.16722	     0.00388	 2.32
2.083333E-01         0.15398	     0.00387	 2.51
2.187500E-01         0.14193	     0.00387	 2.73
2.291667E-01         0.13081	     0.00388	 2.97
2.395833E-01         0.12046	     0.00390	 3.24
2.500000E-01         0.11103	     0.00392	 3.53
2.604167E-01         0.10241	     0.00396	 3.86
2.708333E-01         0.09494	     0.00400	 4.21
2.812500E-01         0.08794	     0.00404	 4.59
2.916667E-01         0.08148	     0.00409	 5.02
3.020833E-01         0.07575	     0.00415	 5.48
3.125000E-01         0.07069	     0.00421	 5.96
3.229167E-01         0.06605	     0.00428	 6.48
3.333333E-01         0.06170	     0.00436	 7.06
3.437500E-01         0.05764	     0.00444	 7.70
3.541667E-01         0.05423	     0.00452	 8.34
3.645833E-01         0.05134	     0.00461	 8.97
3.750000E-01         0.04875	     0.00469	 9.63
3.854167E-01         0.04693	     0.00477	10.16
3.958333E-01         0.04552	     0.00483	10.62
4.062500E-01         0.04487	     0.00488	10.88
4.166667E-01         0.04483	     0.00490	10.93
4.270833E-01         0.04487	     0.00488	10.88
4.375000E-01         0.04552	     0.00483	10.62
4.479167E-01         0.04693	     0.00477	10.16
4.583333E-01         0.04875	     0.00469	 9.63
4.687500E-01         0.05134	     0.00461	 8.97
4.791667E-01         0.05423	     0.00452	 8.34
4.895833E-01         0.05764	     0.00444	 7.70
5.000000E-01         0.06170	     0.00436	 7.06
5.104167E-01         0.06605	     0.00428	 6.48
5.208333E-01         0.07069	     0.00421	 5.96
5.312500E-01         0.07575	     0.00415	 5.48
5.416667E-01         0.08148	     0.00409	 5.02
5.520833E-01         0.08794	     0.00404	 4.59
5.625000E-01         0.09494	     0.00400	 4.21
5.729167E-01         0.10241	     0.00396	 3.86
5.833333E-01         0.11103	     0.00392	 3.53
5.937500E-01         0.12046	     0.00390	 3.24
6.041667E-01         0.13081	     0.00388	 2.97
6.145833E-01         0.14193	     0.00387	 2.73
6.250000E-01         0.15398	     0.00387	 2.51
6.354167E-01         0.16722	     0.00388	 2.32
6.458333E-01         0.18183	     0.00389	 2.14
6.562500E-01         0.19836	     0.00391	 1.97
6.666667E-01         0.21656	     0.00394	 1.82
6.770833E-01         0.23714	     0.00398	 1.68
6.875000E-01         0.25986	     0.00402	 1.55
6.979167E-01         0.28534	     0.00406	 1.42
7.083333E-01         0.31358	     0.00412	 1.31
7.187500E-01         0.34502	     0.00419	 1.21
7.291667E-01         0.38061	     0.00426	 1.12
7.395833E-01         0.42057	     0.00434	 1.03
7.500000E-01         0.46580	     0.00443	 0.95
7.604167E-01         0.51676	     0.00453	 0.88
7.708333E-01         0.57475	     0.00463	 0.80
7.812500E-01         0.64115	     0.00473	 0.74
7.916667E-01         0.71851	     0.00482	 0.67
8.020833E-01         0.81001	     0.00491	 0.61
8.125000E-01         0.92151	     0.00498	 0.54
8.229167E-01         1.06220	     0.00504	 0.47
