# τ                       F(1.91,τ)                     τ                           F(1.24,τ)                 τ                           F(0.43,τ)
0.0008139047447208447     1.278776320344074              0.000037562509253852294     0.35274285763648         0.010178365358462477         0.10427541140930718
0.01118615939320039       1.0899524166399361             0.01061533556953588         0.27272191155163616      0.02070960630201031         0.09433558550125243
0.021190635987361817       0.9488922325810039            0.021175455573276117         0.21684152028771186     0.031241768452778526         0.08565320744903593
0.03162315848596464       0.8384165340371235             0.031724901635851524         0.1755577435666722      0.04177393060354674         0.07697082939681965
0.04166665490886676       0.7480821273410586             0.04226757385114925         0.1435372029978479       0.05230885637597614         0.07206079491211792
0.05212452143297411       0.6705536619531015             0.05280490909586462         0.11881496970046612      0.06243660855699125         0.0646312586796376
0.06259051259683657       0.6035872282467083             0.06252958793535875         0.09885546947763446      0.07256620315244715         0.05971661815883422
0.07306329450437485       0.5454487613189356             0.07306045723494538         0.08297541614373038      0.08310112892487655         0.05480658367413227
0.08354213957590945       0.49519240758635985            0.08358906858543945         0.07018310819389839      0.09363595234094817         0.049756832761004066
0.09361887561120907       0.44806949700707477            0.09411634569328796         0.05921537706192681      0.10417090370246702         0.04488172738340923
0.10410561626963663       0.4080774062353554             0.1046420832903915         0.05035292687364046       0.11470769747842664         0.04252151771749024
0.11419179736707272       0.37323307643347725            0.11516699981509777         0.04261329318865292      0.1252426451843613         0.037641422467451724
0.12468422392595904       0.34063265625814254            0.12569058209715844         0.03669823632152602      0.13496883144013705         0.035346848815986265
0.1351791970137238       0.31134272362479076             0.13540499753168644         0.030773942389929365     0.14550563618284934         0.03300160876739877
0.14527121222229414       0.28408273829740205            0.14592755347325043         0.026262406151925877     0.15604236781387743         0.030556571269935606
0.15577131878890912       0.2614663281693168             0.15644939097646687         0.02273333435430902      0.16657923104593703         0.02829116918044905
0.1662718565138527       0.2394104238684458              0.16697071530943502         0.01990602287125376      0.1771159992328072         0.025896030407424053
0.17677444224085728       0.22001692224684133            0.17749193700835347         0.017219063451110905     0.18724746768072814         0.023539198501313585
0.18687446082590273       0.20316132633711237            0.18801315870727187         0.014532104030968052     0.19778603880172968         0.023605064817571852
0.19738010508230094       0.1877439129273073             0.19812901696364654         0.01290720175672444      0.20791741439781164         0.02112149015138831
0.20748186177435865       0.1731478561335349             0.20824479311278143         0.011394581132810444     0.21845615294456994         0.021415892625572752
0.21839466770365554       0.16116542723310312            0.21876457793500464         0.01067255059344041      0.22899373998230266         0.02013848527995954
0.22849824334491212       0.14893400439788995            0.2292848759274762         0.009248759739508783      0.23953235058361366         0.020258242218610834
0.23860379961974085       0.13927740520644094            0.2398045581156497         0.008667081263051157      0.2500699376213464         0.0189808348729974
0.24911393061749634       0.1296927555610814             0.24992049847926406         0.006929897338477708     0.2602032170456839         0.01909598577554661
0.2596246679316515       0.12089631723524175             0.26044022172105746         0.006292078036854942     0.270335575262801         0.017953688822257563
0.27013637535204615       0.11336101702063339            0.27095966785091674         0.006033209305095877     0.28087418586411195         0.018073445760908857
0.28064856782556036       0.10645628586164091            0.281074735825109         0.005489017915277339       0.29141279646542295         0.01819320269956015
0.29075790635983445       0.10171662394910053            0.29159411011113356         0.005328395627556715     0.3019514070667339         0.018312959638211446
0.301269792787928       0.09441403374311252              0.30211358703120783         0.005027421276923683     0.3124890964608245         0.017175268721024484
0.311379714540834       0.09043255605220502              0.31263296131723234         0.00486679898920328      0.32262237588516196         0.017290419623573694
0.32189408975338696       0.0863653856434834             0.32274791639397         0.004476994868588102        0.33275565530949947         0.017405570526122904
0.3324093138088994       0.08340171108208927             0.3332670854118952         0.0045970767066922935     0.34329426591081047         0.0175253274647742
0.34292478039097163       0.08075332104850341            0.34338181469372353         0.004516047124484279     0.3538328765121214         0.017645084403425493
0.3530348773019487       0.07699954884990179             0.35390159951594674         0.003794016585114468     0.36437056590621203         0.01650739348623853
0.3635509367267229       0.07512185432873486             0.3644208711679216         0.0037737463603064736     0.374909176507523         0.016627150424889825
0.3736639304827204       0.0751339806567275              0.37494034808799587         0.003472772009673219     0.38504227169041644         0.01649081175627143
0.3841802459077521       0.07358908647046891             0.3850548721017249         0.003672446553290465      0.39558106653317154         0.01686205826609033
